id,rel_output,rel_type
trm_4a3fd79d096be,trm_4a3fd79d096be,isSelf
trm_4a3fd79d096be,ctp_C3,inCategory
trm_4a3fd79d096be,trm_4a3fd79d0aec1,isKindOf
trm_4a3fd79d096e3,trm_4a3fd79d096e3,isSelf
trm_4a3fd79d096e3,ctp_C3,inCategory
trm_4a3fd79d096e3,trm_4a3fd79d09827,isKindOf
trm_4a3fd79d096f0,trm_4a3fd79d096f0,isSelf
trm_4a3fd79d096f0,ctp_C3,inCategory
trm_4a3fd79d096f0,trm_4a3fd79d0a746,isKindOf
trm_4a3fd79d096fc,trm_4a3fd79d096fc,isSelf
trm_4a3fd79d096fc,ctp_C1,inCategory
trm_4a3fd79d096fc,trm_4a3fd79d09ab2,isPartOf
trm_4a3fd79d09707,trm_4a3fd79d09707,isSelf
trm_4a3fd79d09707,ctp_C1,inCategory
trm_4a3fd79d09707,trm_4a3fd79d0b8e5,isKindOf
trm_4a3fd79d09707,trm_4a3fd79d0b8e5,isKindOf
trm_4a3fd79d09707,trm_4a3fd79d09ab2,isPartOf
trm_4a3fd79d09707,trm_4a3fd79d09aa7,isPartOf
trm_4a3fd79d09707,trm_4a3fd79d09a3d,isPartOf
trm_4a3fd79d09713,trm_4a3fd79d09713,isSelf
trm_4a3fd79d09713,ctp_C6,inCategory
trm_4a3fd79d09713,trm_4a3fd79d09ab2,isKindOf
trm_4a3fd79d09713,trm_4a3fd79d09ab2,isPartOf
trm_4a3fd79d09713,trm_4a3fd79d0b1f7,isPartOf
trm_4a3fd79d0971e,trm_4a3fd79d0971e,isSelf
trm_4a3fd79d0971e,ctp_C1,inCategory
trm_4a3fd79d09735,trm_4a3fd79d09735,isSelf
trm_4a3fd79d09735,ctp_C7,inCategory
trm_4a3fd79d09735,trm_557b4a7315f1b,hasPart
trm_4a3fd79d09735,trm_4a3fd79d0af71,hasPart
trm_4a3fd79d09735,trm_4a3fd79d0ac30,hasPart
trm_4a3fd79d0b5c0,trm_4a3fd79d0b5c0,isSelf
trm_4a3fd79d0b5c0,ctp_C7,inCategory
trm_5159c00c3dac3,trm_5159c00c3dac3,isSelf
trm_4a3fd79d09741,trm_4a3fd79d09741,isSelf
trm_4a3fd79d0974d,trm_4a3fd79d0974d,isSelf
trm_4a3fd79d0ba0d,trm_4a3fd79d0ba0d,isSelf
trm_4a3fd79d0ba0d,ctp_C4,inCategory
trm_4a3fd79d0ba0d,trm_55b6b9d7c9435,isKindOf
trm_4a3fd79d0ba0d,trm_4a3fd79d0b5a7,isPartOf
trm_4a3fd79d0ba0d,trm_4a3fd79d0ab7c,isPartOf
trm_4a3fd79d0b8b5,trm_4a3fd79d0b8b5,isSelf
trm_4a3fd79d0b8b5,ctp_C5,inCategory
trm_4a3fd79d0b8c1,trm_4a3fd79d0b8c1,isSelf
trm_4a3fd79d0b8c1,ctp_C5,inCategory
trm_4a3fd79d0b8c1,trm_4a3fd79d0a281,isPartOf
trm_4a3fd79d0b98a,trm_4a3fd79d0b98a,isSelf
trm_4a3fd79d0b98a,ctp_C1,inCategory
trm_4a3fd79d09758,trm_4a3fd79d09758,isSelf
trm_4a3fd79d09758,ctp_C5,inCategory
trm_4a3fd79d09764,trm_4a3fd79d09764,isSelf
trm_4a3fd79d09764,ctp_C7,inCategory
trm_4fafd1626bf2b,trm_4fafd1626bf2b,isSelf
trm_4fafd1626bf2b,trm_4a3fd79d09e9e,hasPart
trm_4fafd1626bf2b,trm_4a3fd79d0a48e,hasPart
trm_4fafd1626bf2b,trm_4b6525253c63f,hasPart
trm_4a3fd79d09770,trm_4a3fd79d09770,isSelf
trm_4a3fd79d09770,ctp_C1,inCategory
trm_4a3fd79d0977b,trm_4a3fd79d0977b,isSelf
trm_4a3fd79d0977b,ctp_C8,inCategory
trm_5154b2f947fe9,trm_5154b2f947fe9,isSelf
trm_5154b2f947fe9,trm_4a3fd79d0ab7c,isPartOf
trm_523f5ee64102c,trm_523f5ee64102c,isSelf
trm_4a3fd79d097b4,trm_4a3fd79d097b4,isSelf
trm_4a3fd79d097b4,ctp_C10,inCategory
trm_4a3fd79d097b4,trm_4a3fd79d0b67d,hasPart
